3D capture:,3D:,Additional microphone(s):,Bluetooth:,Broadcast Mobile TV:,CDMA:,Charging:,Colors:,Data:,Dimensions with the dock:,Dimensions:,Display size:,Dock Features:,Dual SIM:,EU SAR:,External antenna:,Features:,Fifth camera:,Flash:,Fourth camera:,Front:,GSM:,HD Voice:,HDMI:,Headphones connector:,Hearing aid compatibility:,In The Box:,LTE (FDD):,LTE (TDD):,MSRP price:,Main camera:,Materials:,Maximum User Storage:,Mobile Payment:,Model without AMPS is also available (FCC ID:,None,Notifications:,OS:,Other features:,Other:,Peak brightness:,Phone functionality:,Projector:,ROM:,Radio:,Rear:,Resistance:,Resolution:,SIM type:,Screen mirroring:,Second camera:,Sensors:,Speakers:,Storage expansion:,Tablet dock:,Technology:,Third camera:,UMTS:,USB:,Unnamed: 0,Video playback:,Video recording:,VoLTE:,Warranty period:,Weight with the dock:,Weight:,Wi-Fi:,rating
,,,,,,,,,,4.25 x 1.77 x 0.53 inches (108 x 45 x 13.5 mm),1.8 inches,,,,,"Numeric keypad, Soft keys",,,,,"850, 1900 MHz",,,2.5mm,,,,,,,,,,,None,"Polyphonic ringtones (32 voices), Vibration, Phone profiles, Speakerphone",,,,,,,,FM,,,128 x 160 pixels,,,,,,,,TFT,,,,0,,,,,,None,,7.0
,,,,,,,,,,4.25 x 1.77 x 0.53 inches (108 x 45 x 13.5 mm),1.8 inches,,,,,"Numeric keypad, Soft keys",,,,,"900, 1800 MHz",,,2.5mm,,,,,,,,,,,None,"Polyphonic ringtones (32 voices), Vibration, Phone profiles, Speakerphone",,,,,,,,FM,,,128 x 160 pixels,,,,,,,,TFT,,,,0,,,,,,None,,3.3
,,,2.0,,,,,,,4.21 x 1.81 x 0.54 inches (107 x 46 x 13.8 mm),1.8 inches,,,,,"Numeric keypad, Soft keys, D-Pad",,,,,"850, 1900 MHz",,,2.5mm,,,,,,0.3 megapixels VGA,,,,,None,"Polyphonic ringtones (32 voices), Vibration, Phone profiles, Silent mode, Speakerphone",,Voice recording,"Computer sync, SyncML",,,,,"FM, Stereo, Recording option",Single camera,,128 x 160 pixels,,,,,,,,TFT,,,,0,,128x96 (SubQCIF) (15 fps),,,,None,,4.8
,,,"2.0, EDR",,,,,,,3.86 x 1.91 x 0.59 inches (98 x 48.4 x 15 mm),2.0 inches,,,None,,"Numeric keypad, Soft keys",,,,,"850, 900, 1800, 1900 MHz",,,2.5mm,,,,,,1.3 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (24 voices), Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands","Computer sync, SyncML",,,,,FM,Single camera,,240 x 320 pixels,,,,,,,,TFT,,,,0,,Yes,,,,None,,6.0
,,,,,800 MHz,,,,,4.33 x 1.57 x 0.47 inches (110 x 40 x 12 mm),,,,,,"Numeric keypad, Soft keys",,,,,,,,2.5mm,,,,,,1.3 megapixels,,,,,None,"Polyphonic ringtones, Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands, Voice recording",Computer sync,,,,,FM,Single camera,,128 x 160 pixels,,,,,,,,TFT,,,Yes,0,,Yes,,,,None,,6.5
,,,"2.0, EDR",,,,,"HSDPA 3.6 Mbit/s, UMTS",,4.37 x 2.04 x 0.61 inches (111 x 51.7 x 15.5 mm),3.2 inches,,,None,,Stylus,,Dual LED,,Yes,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,3.2 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone","Symbian (9.4), S60 5th Edition","Voice dialing, Voice commands, Voice recording","UPnP, SyncML, Computer sync",,,,256 MB,"FM, Stereo, RDS",Single camera,,360 x 640 pixels,,TV-out,,Accelerometer,,,,TFT,,"850, 1900 MHz",USB 2.0,0,,640x480 (VGA) (30 fps),,,,None,"802.11 b, g",8.1
,,,"2.0, EDR",,,,,"HSDPA 3.6 Mbit/s, UMTS",,4.33 x 1.93 x 0.59 inches (110 x 49 x 15 mm),2.4 inches,,,None,,"Numeric keypad, Soft keys",,Dual LED,,Yes,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,5 megapixels,,,,,None,"Music ringtones (MP3, AAC), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Flight mode, Silent mode, Speakerphone","Symbian (9.3), S60 3rd Edition, Feature Pack 2","Voice dialing, Voice commands, Voice recording, Push-to-Talk","UPnP, Computer sync, OTA sync, SyncML, VoIP",,,,,"FM, Stereo, RDS, Visual Radio, FM Transmiter",Single camera,,240 x 320 pixels,,"DLNA, TV-out",,Accelerometer,,,,TFT,,"850, 1900 MHz",USB 2.0,0,,640x480 (VGA) (30 fps),,,,None,"802.11 b, g",8.7
,,,"2.0, EDR",,,,,"HSDPA 3.6 Mbit/s, UMTS",,4.05 x 2.16 x 0.70 inches (103 x 55 x 18 mm),2.8 inches,,,,,"Numeric keypad, Soft keys, Music control keys",,Dual LED,,Yes,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,5 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Phone profiles, Flight mode, Silent mode, Speakerphone","Symbian (9.3), S60 3rd Edition, Feature Pack 2","Voice dialing, Voice commands, Voice recording, Push-to-Talk","UPnP, Computer sync, OTA sync, VoIP",,,,256 MB,"FM, Stereo, RDS, Visual Radio",Single camera,,240 x 320 pixels,,"DLNA, TV-out",,Accelerometer,,,,TFT,,"850, 1900 MHz",USB 2.0,0,,640x480 (VGA) (30 fps),,,,None,"802.11 b, g",5.4
,,,"2.0, EDR",,,,,"HSDPA 3.6 Mbit/s, UMTS",,4.05 x 1.96 x 0.63 inches (103 x 50 x 16 mm),2.6 inches,,,None,,"Numeric keypad, Soft keys",,Dual LED,,Yes,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,5 megapixels,,,,,None,"Music ringtones (MP3, AAC), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone","Symbian (9.3), S60 3rd Edition, Feature Pack 2","Voice dialing, Voice commands, Voice recording, Push-to-Talk","UPnP, Computer sync, OTA sync, VoIP",,,,78 MB,"FM, Stereo, RDS, Visual Radio, FM Transmiter",Single camera,,240 x 320 pixels,,"DLNA, TV-out",,Accelerometer,,,,AMOLED,,"850, 1900, 2100 MHz",USB 2.0,0,,640x480 (VGA) (30 fps),,,,None,"802.11 b, g",8.1
,,,2.0,,,,,,,3.92 x 1.74 x 0.77 inches (99.6 x 44.3 x 19.6 mm),2.0 inches,,,None,,"Numeric keypad, Soft keys",,,,,"850, 900, 1800, 1900 MHz",,,2.5mm,,,,,,1.3 megapixels,,,,,None,"Music ringtones (MP3), Video ringtones, Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands, Voice recording, Push-to-Talk","Computer sync, SyncML",,,,,,Single camera,,240 x 320 pixels,,,,,,,,TFT,,,USB 2.0,0,,220x176,,,,None,,9.3
,,,2.0,,,,,,,4.17 x 1.77 x 0.42 inches (106 x 45 x 10.6 mm),2.0 inches,,,None,,"Numeric keypad, Soft keys",,,,,"900, 1800, 1900 MHz",,,2.5mm,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands, Voice recording",Computer sync,,,,,"FM, RDS",Single camera,,240 x 320 pixels,,,,,,,,TFT,,,USB 2.0,0,,220x176,,,,None,,7.9
,,,"2.0, EDR",,,,,"HSDPA 3.6 Mbit/s, UMTS",,4.49 x 2.24 x 0.39 inches (114 x 57 x 10 mm),2.4 inches,,,None,,"Full keyboard, Soft keys",,LED,,Yes,"850, 900, 1800, 1900 MHz",,,2.5mm,,,,,,3.2 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone","Symbian (9.2), S60 3rd Edition, Feature Pack 1","Voice dialing, Voice commands, Voice recording, Push-to-Talk","Computer sync, Infrared, SyncML, VoIP",,,,256 MB,"FM, RDS, Visual Radio",Single camera,,320 x 240 pixels,,,,,,,,TFT,,"900, 2100 MHz",Yes,0,,640x480 (VGA) (22 fps),,,,None,"802.11 b, g",8.8
,,,"2.0, EDR",,,,,"HSDPA 3.6 Mbit/s, UMTS",,4.23 x 1.95 x 0.54 inches (107.5 x 49.5 x 13.6 mm),2.4 inches,,,None,,"Numeric keypad, Soft keys",,LED,,Yes,"850, 900, 1800, 1900 MHz",,,2.5mm,,,,,,3.2 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone","Symbian (9.2), S60 3rd Edition, Feature Pack 1","Voice dialing, Voice commands, Voice recording, Push-to-Talk","Computer sync, Infrared, SyncML, VoIP",,,,256 MB,"FM, RDS, Visual Radio",Single camera,,240 x 320 pixels,,,,Accelerometer,,,,TFT,,"850, 1900 MHz",Yes,0,,640x480 (VGA) (22 fps),,,,None,"802.11 b, g",8.0
,,,2.0,,,,,,,3.86 x 1.89 x 0.59 inches (98 x 48 x 15 mm),,,,None,,"Numeric keypad, Soft keys",,LED,,,"850, 900, 1800, 1900 MHz",,,2.5mm,,,,,,3.2 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands, Voice recording, Push-to-Talk","Computer sync, SyncML",,,,,"FM, RDS",Single camera,,240 x 320 pixels,,TV-out,,,,,,TFT,,,USB 2.0,0,,640x480 (VGA) (15 fps),,,,None,,5.8
,,,2.0,,"800, 1900 MHz",,,,,3.62 x 1.77 x 0.72 inches (92 x 45 x 18 mm),2.0 inches,,,None,,"Numeric keypad, Soft keys",,Yes,,,,,,2.5mm,"M4, T4",,,,,1.3 megapixels,,,,,None,"Polyphonic ringtones, Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands, Voice recording, TTY/TDD",Computer sync,,,,,,Single camera,,176 x 220 pixels,,,,,,,,TFT,,,Yes,0,,Yes,,,,None,,5.4
,,,2.0,,,,,,,3.85 x 1.85 x 0.57 inches (97.8 x 47.2 x 14.5 mm),2.0 inches,,,,,"Numeric keypad, Soft keys",,LED,,,"850, 900, 1800, 1900 MHz",,,2.5mm,,,,,,3.2 megapixels,,,,,None,"Music ringtones (MP3, AAC), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,Voice recording,"Computer sync, SyncML",,,,,"FM, Stereo",Single camera,,240 x 320 pixels,,TV-out,,,,,,TFT,,,Yes,0,,640x480 (VGA),,,,None,,7.9
,,,"2.0, EDR",,,,,UMTS,,3.45 x 1.73 x 0.62 inches (87.7 x 44 x 15.9 mm),2.1 inches,,,None,,"Numeric keypad, Soft keys",,LED,,Yes,"850, 900, 1800, 1900 MHz",,,,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3, AAC), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,Voice recording,"Computer sync, SyncML",,,,,"FM, Stereo",Single camera,,240 x 320 pixels,,,,,,,,OLED,,"850, 2100 MHz",Yes,0,,640x480 (VGA) (15 fps),,,,None,,8.7
,,,2.0,,,,,UMTS,,3.54 x 1.77 x 0.55 inches (90 x 45 x 14 mm),2.2 inches,,,None,,"Numeric keypad, Soft keys",,LED,,,"850, 900, 1800, 1900 MHz",,,,,,,,,3.2 megapixels,,,,,None,"Music ringtones (MP3, AAC), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,Voice recording,"Computer sync, SyncML",,,,,"FM, Stereo",Single camera,,240 x 320 pixels,,,,Accelerometer,,,,TFT,,"850, 2100 MHz",Yes,0,,640x480 (VGA) (15 fps),,,,None,,8.6
,,,"2.0, EDR",,,,,,,4.25 x 1.71 x 0.41 inches (108 x 43.5 x 10.5 mm),2.0 inches,,,None,,"Numeric keypad, Soft keys",,,,,"850, 1800, 1900 MHz",,,3.5mm,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands, Voice recording, Push-to-Talk","Computer sync, SyncML",,,,,"FM, Stereo, RDS",Single camera,,240 x 320 pixels,,,,,,,,TFT,,,Yes,0,,220x176,,,,None,,8.9
,,,"2.0, EDR",,,,,"UMTS, HSDPA 3.6 Mbit/s",,4.25 x 1.81 x 0.59 inches (108 x 46 x 15 mm),2.0 inches,,,None,,"Numeric keypad, Soft keys",,LED,,Yes,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone","Symbian (9.3), S60 3rd Edition, Feature Pack 2","Voice dialing, Voice commands, Voice recording, Push-to-Talk","Computer sync, SyncML",,,,256 MB,"FM, RDS, Visual Radio",Single camera,,240 x 320 pixels,,,,,,,,TFT,,"900, 2100 MHz",Yes,0,,320x240 (QVGA) (15 fps),,,,None,,9.4
,,,,,,,,,,4.25 x 1.80 x 0.60 inches (108 x 46 x 15 mm),,,,,,"Numeric keypad, Soft keys",,,,,"850, 1900 MHz",,,2.5mm,,,,,,0.3 megapixels VGA,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (24 voices), Vibration, Phone profiles, Speakerphone",,Voice recording,SyncML,,,,,,Single camera,,128 x 160 pixels,,,,,,,,TFT,,,,0,,Yes,,,,None,,5.7
,,,2.0,,,,,,,3.89 x 1.85 x 0.61 inches (99 x 47 x 15.5 mm),,,,,,"Numeric keypad, Soft keys",,,,,"900, 1800 MHz",,,2.5mm,,,,,,0.3 megapixels VGA,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (24 voices), Vibration, Phone profiles, Speakerphone",,Voice recording,"Computer sync, SyncML",,,,,"FM, Stereo",Single camera,,128 x 160 pixels,,,,,,,,TFT,,,,0,,128x96 (SubQCIF),,,,None,,3.7
,,,2.0,,,,,,,4.17 x 1.81 x 0.43 inches (106 x 46 x 11 mm),2.0 inches,,,None,,"Numeric keypad, Soft keys",,,,,"850, 1900 MHz",,,2.5mm,,,,,,1.3 megapixels,,,,,None,"Music ringtones (MP3, AAC), Polyphonic ringtones (24 voices), Vibration, Phone profiles, Speakerphone",,Voice recording,SyncML,,,,,"FM, Stereo",Single camera,,240 x 320 pixels,,,,,,,,TFT,,,,0,,128x96 (SubQCIF),,,,None,,5.7
,,,"2.0, EDR",,"800, 1700/2100, 1900 MHz",,,,,3.54 x 1.87 x 0.60 inches (90 x 47.5 x 15.3 mm),2.0 inches,,,,,"Numeric keypad, Soft keys",,LED,,,,,,2.5mm,,,,,,1.3 megapixels,,,,,None,"Polyphonic ringtones (72 voices), Vibration, Phone profiles, Speakerphone",,Voice recording,,,,,,FM,Single camera,,176 x 220 pixels,,,,,,,,TFT,,,Yes,0,,,,,,None,,6.1
,,,,,,,,,,3.45 x 1.73 x 0.62 inches (87.5 x 44 x 15.8 mm),1.8 inches,,,None,,"Numeric keypad, Soft keys",,,,,"850, 1900 MHz",,,2.5mm,,,,,,,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (24 voices), Vibration, Speakerphone",,Voice recording,SyncML,,,,,,,,128 x 160 pixels,,,,,,,,TFT,,,,0,,,,,,None,,8.0
,,,"2.0, EDR",,,,,,,4.18 x 1.71 x 0.51 inches (106.5 x 43.5 x 13 mm),2.0 inches,,,None,,"Numeric keypad, Soft keys",,,,,"900, 1800, 1900 MHz",,,2.5mm,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3), Video ringtones, Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands, Voice recording","UMA (Wi-Fi Calling), Computer sync, SyncML, VoIP",,,,,"FM, Stereo, Visual Radio",Single camera,,240 x 320 pixels,,,,,,,,TFT,,,Yes,0,,220x176,,,,None,"802.11 b, g",6.6
,,,"2.0, EDR",,,,,"HSDPA 3.6 Mbit/s, UMTS",,4.13 x 1.81 x 0.61 inches (105 x 46 x 15.6 mm),2.0 inches,,,None,,"Numeric keypad, Soft keys",,Yes,,Yes,"850, 900, 1800, 1900 MHz",,,2.5mm,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone","Symbian (9.2), S60 3rd Edition, Feature Pack 1","Voice dialing, Voice commands, Voice recording, Push-to-Talk, Presence","SyncML, Computer sync",,,,128 MB,"FM, Stereo, Visual Radio",Single camera,,240 x 320 pixels,,,,,,,,TFT,,"900, 2100 MHz",USB 2.0,0,,Yes,,,,None,,10.0
,,,2.0,,,,,"HSDPA 3.6 Mbit/s, UMTS",,3.92 x 1.86 x 0.63 inches (100 x 47 x 16 mm),2.2 inches,,,None,,"Numeric keypad, Soft keys",,LED,,,"850, 900, 1800, 1900 MHz",,,2.5mm,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone","Symbian (9.3), S60 3rd Edition, Feature Pack 2","Voice dialing, Voice commands, Voice recording, TTY/TDD","UPnP, SyncML, Computer sync",,,,128 MB,"FM, Stereo, Visual Radio",Single camera,,240 x 320 pixels,,,,,,,,TFT,,"850, 1900 MHz",USB 2.0,0,,320x240 (QVGA) (15 fps),,,,None,,8.8
,,,"2.0, EDR",,,,,"HSDPA 3.6 Mbit/s, UMTS",,4.44 x 1.92 x 0.59 inches (113 x 49 x 15 mm),2.4 inches,,,None,,"Numeric keypad, Soft keys",,LED,,Yes,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,3.2 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone","Symbian (9.3), S60 3rd Edition, Feature Pack 2","Voice dialing, Voice commands, Voice recording, Push-to-Talk","UPnP, SyncML, Computer sync",,,,256 MB,"FM, Stereo, Visual Radio, FM Transmiter",Single camera,,240 x 320 pixels,,,,,,,,TFT,,"850, 1900 MHz",Yes,0,,640x480 (VGA) (15 fps),,,,None,"802.11 b, g",9.4
,,,"2.0, EDR",,,,,"HSDPA 3.6 Mbit/s, UMTS",,4.05 x 1.92 x 0.58 inches (103 x 49 x 14.9 mm),2.4 inches,,,None,,"Numeric keypad, Soft keys",,LED,,Yes,"850, 900, 1800, 1900 MHz",,,2.5mm,,,,,,3.2 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone","Symbian (9.3), S60 3rd Edition, Feature Pack 2","Voice dialing, Voice commands, Voice recording, Push-to-Talk","SyncML, Computer sync",,,,256 MB,"FM, Stereo",Single camera,,240 x 320 pixels,,,,"Accelerometer, Compass",,,,TFT,,"850, 1900 MHz",Yes,0,,640x480 (VGA) (15 fps),,,,None,,8.0
,,,"2.0, EDR",DVB-H,,,,"HSDPA 3.6 Mbit/s, UMTS",,4.05 x 2.16 x 0.70 inches (103 x 55 x 18 mm),2.8 inches,,,None,,"Numeric keypad, Soft keys, Music control keys",,Dual LED,,Yes,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,5 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Flight mode, Silent mode, Speakerphone","Symbian (9.3), S60 3rd Edition, Feature Pack 2","Voice dialing, Voice commands, Voice recording, Push-to-Talk","UPnP, Computer sync, OTA sync, VoIP",,,,256 MB,"FM, Stereo, RDS, Visual Radio",Single camera,,240 x 320 pixels,,"DLNA, TV-out",,Accelerometer,,,,TFT,,"900, 2100 MHz",USB 2.0,0,,640x480 (VGA) (30 fps),,,,None,"802.11 b, g",7.5
,,,"2.0, EDR",,,,,"UMTS, HSDPA 3.6 Mbit/s",,4.25 x 1.85 x 0.59 inches (108 x 47 x 15 mm),2.2 inches,,,None,,"Numeric keypad, Soft keys",,Xenon,,Yes,"850, 900, 1800, 1900 MHz",,,2.5mm,,,,,,5 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone","Symbian (9.3), S60 3rd Edition, Feature Pack 2","Voice dialing, Voice commands, Voice recording, Push-to-Talk","Computer sync, SyncML",,,,256 MB,"FM, Stereo, RDS, Visual Radio",Single camera,,240 x 320 pixels,,TV-out,,,,,,TFT,,"900, 2100 MHz",USB 2.0,0,,640x480 (VGA) (30 fps),,,,None,,9.3
,,,2.0,,,,,UMTS,,4.38 x 1.78 x 0.52 inches (111.3 x 45.4 x 13.4 mm),2.0 inches,,,,,"Numeric keypad, Soft keys",,Yes,,Yes,"850, 900, 1800, 1900 MHz",,,2.5mm,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3, AAC), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands, Voice recording, Push-to-Talk","Computer sync, SyncML",,,,,"FM, Stereo",Single camera,,240 x 320 pixels,,,,,,up to 4 GB,,TFT,,"850, 1900 MHz",USB 2.0,0,,640x480 (VGA) (15 fps),,,,None,,8.7
,,,2.0,,,,,,,4.31 x 1.83 x 0.47 inches (109.6 x 46.7 x 12 mm),,,,,,"Numeric keypad, Soft keys",,,,,"850, 1900 MHz",,,2.5mm,,,,,,0.3 megapixels VGA,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",,Voice recording,SyncML,,,,,FM,Single camera,,128 x 160 pixels,,,,,,,,TFT,,,,0,,Yes,,,,None,,7.0
,,,2.0,,"800, 1900 MHz",,,,,3.22 x 1.65 x 0.62 inches (82 x 42 x 16 mm),1.8 inches,,,,,"Numeric keypad, Soft keys",,,,,,,,,"M4, T4",,,,,0.3 megapixels VGA,,,,,None,"Polyphonic ringtones, Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands, Voice recording, TTY/TDD",,,,,,,Single camera,,128 x 160 pixels,,,,,,,,TFT,,,Yes,0,,,,,,None,,5.0
,,,2.0,,"800, 1900 MHz",,,,,3.56 x 1.85 x 0.55 inches (90 x 47 x 14 mm),2.2 inches,,,None,,"Numeric keypad, Soft keys",,Yes,,,,,,2.5mm,"M3, T4",,,,,2 megapixels,,,,,None,"Polyphonic ringtones, Vibration, Phone profiles, Speakerphone",,"Voice dialing (Speaker independent), Voice commands (Speaker independent), Voice recording, TTY/TDD",,,,,,,Single camera,,240 x 320 pixels,,,,,,,,TFT,,,USB 2.0,0,,Yes,,,,None,,7.7
,,,2.0,,,,,"HSDPA 3.6 Mbit/s, UMTS",,3.89 x 2.08 x 0.82 inches (99 x 53 x 21 mm),2.8 inches,,,,,"Numeric keypad, Soft keys, Music control keys",,Yes,,Yes,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,5 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Phone profiles, Speakerphone","Symbian (9.2), S60 3rd Edition, Feature Pack 1","Voice dialing, Voice commands, Voice recording, Push-to-Talk","UPnP, Computer sync, Infrared, SyncML, VoIP",,,,256 MB,"FM, Stereo, Visual Radio",Single camera,,240 x 320 pixels,,"DLNA, TV-out",,Accelerometer,,,,TFT,,"850, 1900 MHz",USB 2.0,0,,640x480 (VGA) (30 fps),,,,None,"802.11 b, g",5.5
,,,2.0,,,,,,,4.27 x 1.80 x 0.61 inches (108.5 x 46 x 15.6 mm),,,,,,"Numeric keypad, Soft keys",,,,,"900, 1800, 1900 MHz",,,,,,,,,1.3 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands, Voice recording, Push-to-Talk","Infrared, SyncML",,,,,"FM, Stereo",Single camera,,128 x 160 pixels,,,,,,,,TFT,,,Yes,0,,Yes,,,,None,,10.0
,,,2.0,,,,,UMTS,,3.72 x 1.88 x 0.85 inches (94.5 x 48 x 21.6 mm),2.2 inches,,,None,,"Numeric keypad, Soft keys",,,,,"850, 900, 1800, 1900 MHz",,,2.5mm,,,,,,1.3 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands, Voice recording, TTY/TDD, Push-to-Talk",Computer sync,,,,,"FM, Stereo",Single camera,,240 x 320 pixels,,,,,,,,TFT,,1700/2100 MHz,Yes,0,,Yes,,,,None,,6.1
,,,2.0,,,,,"HSDPA 3.6 Mbit/s, UMTS",,4.40 x 1.97 x 0.68 inches (112 x 50.2 x 17.3 mm),2.4 inches,,,None,,"Numeric keypad, Soft keys",,Xenon,,Yes,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,5 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Flight mode, Silent mode, Speakerphone","Symbian (9.2), S60 3rd Edition, Feature Pack 1","Voice dialing, Voice commands, Voice recording, Push-to-Talk","UPnP, Computer sync, OTA sync, SyncML, VoIP",,,,256 MB,"FM, Stereo, Visual Radio",Single camera,,240 x 320 pixels,,"DLNA, TV-out",,Accelerometer,,,,TFT,,2100 MHz,USB 2.0,0,,640x480 (VGA) (30 fps),,,,None,"802.11 b, g",8.7
,,,"2.0, EDR",,,,,UMTS,,4.29 x 1.79 x 0.57 inches (109 x 45.6 x 14.6 mm),2.0 inches,,,,,"Numeric keypad, Soft keys",,,,,"900, 1800, 1900 MHz",,,,,,,,,3.2 megapixels,,,,,None,"Music ringtones (MP3, AAC), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,"Voice dialing (Speaker independent), Voice commands, Voice recording",Computer sync,,,,,,Single camera,,240 x 320 pixels,,,,Accelerometer,,,,OLED,,2100 MHz,Yes,0,,640x480 (VGA) (15 fps),,,,None,,7.6
,,,2.0,,,,,UMTS,,3.92 x 1.74 x 0.81 inches (99.5 x 44 x 20.5 mm),1.8 inches,,,,,"Numeric keypad, Soft keys",,,,,"850, 900, 1800, 1900 MHz",,,2.5mm,,,,,,0.3 megapixels VGA,,,,,None,"Music ringtones (MP3, AAC), Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands, Voice recording, TTY/TDD, Push-to-Talk",Computer sync,,,,,,Single camera,,128 x 160 pixels,,,,,,,,TFT,,1700/2100 MHz,Yes,0,,Yes,,,,None,,5.5
,,,,,"800, 1900 MHz",,,,,4.09 x 1.67 x 0.65 inches (104 x 42.5 x 16.5 mm),,,,,,"Numeric keypad, Interchangeable covers, Soft keys",,,,,,,,2.5mm,,,,,,,,,,,None,"Polyphonic ringtones, Vibration, Phone profiles, Speakerphone",,"Voice recording, TTY/TDD",,,,,,,,,96 x 65 pixels,,,,,,,,TFT,,,,0,,,,,,None,,5.6
,,,2.0,,,,,,,4.19 x 1.71 x 0.51 inches (106.5 x 43.5 x 13.1 mm),2.0 inches,,,None,,"Numeric keypad, Soft keys",,,,,"850, 1800, 1900 MHz",,,2.5mm,,,,,,2 megapixels,,,,,None,"Music ringtones (MP3), Video ringtones, Polyphonic ringtones (64 voices), Vibration, Phone profiles, Speakerphone",,"Voice dialing, Voice commands, Voice recording, Push-to-Talk","UMA (Wi-Fi Calling), Computer sync, SyncML",,,,,"FM, Stereo, Visual Radio",Single camera,,240 x 320 pixels,,,,,,,,TFT,,,Yes,0,,Yes,,,,None,Yes,8.2
